Turn,RiskSeverity_Model,RiskRate_Model,ErosionVelocity_Model,CumulativeRisk_Model,Likelihood_Model,RiskSeverity_User,CumulativeRisk_User,RobustnessIndex_rho
1,0.008708758413204176,0.0,0.0,0.008708758413204176,0.07677904358084829,0.027261185945767652,0.027261185945767652,0.06843216451648826
2,0.021079695571598833,0.012370937158394657,0.012370937158394657,0.02978845398480301,0.08174303157506067,0.012714898272965236,0.03997608421873289,0.21281102519094788
3,0.028280669003342696,0.007200973431743862,-0.005169963726650795,0.058069122988145705,0.07828443264548143,0.003111920319774808,0.043088004538507696,0.4058280299276813
4,0.0502327510072218,0.021952082003879103,0.01475110857213524,0.1083018739953675,0.08639681875959643,0.004181864478620456,0.04726986901712815,0.7353973675550123
5,0.0016267266036178452,-0.048606024403603953,-0.07055810640748306,0.10992860059898535,0.05964538628057156,0.003185896799293042,0.050455765816421194,0.7306373404998974
6,0.07665770298802621,0.07503097638440837,0.12363700078801232,0.18658630358701156,0.12574990107813067,0.44251338507636173,0.4929691508927829,0.3146644362629734
7,0.05488161865428853,-0.021776084333737677,-0.09680706071814604,0.2414679222413001,0.061233357187203595,0.018547466028936865,0.5115166169217198,0.3948673111399856
8,0.001195538393122364,-0.05368608026116617,-0.03190999592742849,0.24266346063442246,0.0661356806258108,0.016197278459257003,0.5277138953809768,0.38658290412249574
9,0.0032364711615969766,0.0020409327684746126,0.05572701302964078,0.24589993179601943,0.08899863837901886,0.0011292121558708068,0.5288431075368476,0.3910354249714198
10,0.13191187960509132,0.12867540844349434,0.12663447567501973,0.37781181140111075,0.14263762528137755,0.04334791133524729,0.5721910188720949,0.5620601894310657
